,Notes,title,reviews
11,1.0,Almost 1 year since our dreadful trip…,"Almost 1 year since our dreadful trip with AirCanada, Vancouver/Toronto/BWI, still no attempt to answer my e-mails or refund any costs for the cancelled flight (as we boarded). Left for hours in the customer service queue at the airport before they closed the desk and left us stranded in Toronto airport.Not an isolated incident, my daughter flew twice with them from Vancouver, and similarly had her flights cancelled at the last minute and left to find a hotel.Returning to Canada/USA this year but we will not be using this airline.I would urge other passengers to listen to the reviews here, I wish we had.  £1000 out of pocket as they did not provide an alternative flight for us/hotels/meals/taxi's."
12,1.0,Terrible costumer service,"Air Canada delayed my connecting flight by 11 hours, which forced me to stay a night and book a hotel; I asked them to cover that fee since it was their responsibily and they refused. They provided zero compensation and just told me that they would not be giving any feedback on the issue. If you want proper costumer service, stay away. I would absolutely not recommend flying with them."
13,1.0,"Air Canada, We're Not Happy Until You're Not Happy!","Air Canada gets worse everytime we fly with them. Also watched a head flight attendant tell a mother her 5 year old didn't need to wear his seatbelt during take off. Horrible service, AC does not make it convenient or enjoyable. But thanks to them were buying a motorhome!!"
14,1.0,Paid 86 euros for chairs we didn't get,"Paid 86 euros for chairs we didn't get, instead got chairs not even next to eachother. Customer service wasn't of any help and gave false information."
15,1.0,Be warned.   A very dodgy company.,"Be warned.  A very dodgy company.  They lost 4 bags Calgary to Heathrow priority business class.  The same man came round to check in the oversized bag as well.  We have confirmation it never left Calgary.  Air Canads refuse to call me back and state they cannot make outgoing calls.  The only way I got this basic reply was by tweeting.   There is a hell of a lot of 'lost' baggage. That is impossible, so there is something sinister going on.   I have flown very regularly all my life so understand how things work.  The reviews say everything.  An airline that refuses to engage with clients is VERY Dangerous."
16,1.0,I had read bad reviews of this company,"I had read bad reviews of this company, but its price and hours seemed ideal. I never would have. Five days before the Madrid-Calgary flight, our stopover in Toronto was delayed one day. We managed to get our flight changed to another via Dusseldorf, but when the day of checking arrives it is impossible for us to do so. As this company does not have a telephone for the public in Spain, we called one that we found on the web, which turned out to be a scam (they wanted to charge us an extra 1,200 euros). Finally, they had to show up at the airport at five in the morning to check-in.The return trip was also exciting: both in Calgary and Toronto our boarding gates were changed twice, in the second case after announcing it over the loudspeakers five times.Let everyone draw their own conclusions."
17,2.0,I hate Air Canada,I paid several thousand dollars for a flight from Sydney Australia to New York US. For that money Air Canada made me pay for food for the 5-hour leg between Vancouver and NY!The reason was they told me that it was an internal flight. Haha - Air Canada thinks that Canada is part of the US!Sorry Canadians your country doesn't exist.On top of this customer service was very poor. No one told me I needed a visa just to transit through Canada (weird) until I got to the airport and nearly missed my flight from having to apply for it.The food was minimal and staff weren't interested in the passengers.Buying extra legroom was a waste of money because staff just use extra space as a thoroughfare and a place to store their trolleys.And then you have to pay you $5 for the useless $0.50 pair of earphones in order to listen the inflight entertainment.I will now be damaging the Air Canada brand as much as I can as the opportunities arise.
18,1.0,Reserved seat changed so party split up.,"Paid to reserve seats together, but changed with no reason given. Refunded my seat reservation fee, but not my wife's.40+ minutes on hold to helpline and they were not able to tell me anything or do anything."
19,1.0,Hello again,"Hello again, Air Canada here is your next 1* review as you have failed to respond to my email. It’s a shame I can’t leave 0*. So you deny that my arrival was delayed by 24 hours, and therefore that I’m entitled to any compensation, AND YET you’ve already paid me the overnight expenses! Come on, wake up. Then pay up.Does this company not care that 82% of its reviews on here are 1*?"
0,0.0,I wish I read the reviews before…,"I wish I read the reviews before booking. What an old barge of an aeroplane! The seats are very narrow and have an uncomfortable curvature that hunches you forward, possibly the worst seats that I have experienced on a flight.Make sure you leave an extra TWO HOURS at the destination to get your luggage (+oversided) bags back... Staff on the boarding side seemed reasonably nice."
1,2.0,1 star is too high,"1 star is too high. Easily the WORST experience of airline customer service. I understand flights get cancelled, get delayed. I don’t understand how a company can still be in business when it treats its customers as badly as my father and I were treated this past 31 hours. NEVER AGAIN."
2,1.0,I wish I could give no stars,"I wish I could give no stars. Still trying to follow up on my claim status but the # given is for all enquiries and none of the choices direct you to claim status. Does anyone know a phone # for people trying to follow up on a claim status? As a previous customer said ""A national embarrassment""."
3,1.0,Don't travel air canada,Planes were always running  late I'm taking about 1.5hrs late and one time on tar Mac then off to motel.Food terrible  and not enough  rounds.Last one we had breakfast  1.5 before  landing and they were rushing  it no kind slow listening  service it was rushed.   They should serve a bit earlier  so there not rushing.  Not many options  in drinks.Staff not friendly  and girl  are not tidy compare to emirates   air hostess
4,2.0,"Worst company EVER - BAGGAGE MISSING , TOTALLY UNREACHABLE","Worst company EVER. Air Fawlty Towers. First they could not check us in at Schiphol, Amsterdam for almost 2 hours due to computer problems. Then they could not board us because they OVERBOOKED. This caused a massive 1hour delay. Ground employees were literally in tears from stress. In the end we could go on board.. Then when we arrived at Miami airport our BAGGAGE was missing. After 3 days we received a message they located the suitcases. Now the Delivery Company is totally unreachable, we received a phonenumber that doesn't even work. What a terrible company, Service BELOW ZERO. WE WANT OUR BAGGAGE!!!   18/07 Update: Another 4 days have passed; Still no sign of our Baggage : not even a SINGLE REPLY anymore from this company!! Delivery phonenumber is out of service / AC phone at Miami Desk is never answered and has a full answeringmachine, so impossible to even leave a message there as well.."
5,1.0,Horrific customer service,I’d leave 0 if I could. Flight was delayed due to maintenance. We were told this at the gate and via email. Compensation was denied claiming it was actually due to security (clearly just avoiding comp). Customer service has refused to acknowledge the issue and misinformation and has told me the ticket is closed. Absolutely horrific customer service. Will never fly AC again.
6,1.0,HORRIBLE,My daughter and boyfriend just flew Air Canada and was a nightmare. A mutiny at a Canadian Airport. Hundreds of upset customers who were turned away for hotel credits and offered pitiful $10 food vouchers. Flights delayed leading to missing connecting flights and now they lost their luggage amounting to over $3000 worth of clothing. My husband and I were booking a vacation to Canada that would be using Air Canada. I just emailed my travel agent saying I will not use that airline.
7,1.0,We travelled to UK on 11 September 2022…,"We travelled to UK on 11 September 2022 by air Canada We didn’t had any problem with air Canada .Though meals ( Asian vegetarian meal)were not up to our expectations,but not bad .On back journey to Canada on 01 October 22 from Uk with stopover ar Calgary ,was pleasant with better meals I don’t understand why people are writing bad reviews?Again today I have booked one way ticket from India to Vancouver for my granddaughter who is a student. I don’t feel there will be any problem."
9,1.0,I travelled on 25th of June from…,"I travelled on 25th of June from Pearson to Manchester,for two checking bags paid 75 $ for each,but now I found on my credit card three times,I need refund one extra charges."
10,1.0,Air Canada,"What I liked:- comfortable seats in economy class- nice, modern cabin, especially on the A330, the 777 feels more cramped- Very good in-flight-entertainment- good catering-friendly, attentive service- affordable pricingWhat I did not like:- nerve-wrecking check-in at Frankfurt airport, 2 hours of standing in line, rude staff. Due to the long lines, the flights are almost always delayed, often by 1 or 2 hours. The check-in agents just shrugged and said it was always this bad. Nobody bothers to change anything about this deficit.- On the flight back there was another 2h delay. Check-in was fast and efficient but then we had to wait for ages."
13,1.0,I am on my flight back from Boston,"I am on my flight back from Boston, and there is a delay of more than three hours. Asking the customer service for meal voucher compensation as the Air Canada delay compensation policy mentioned; ridiculously the customer service called someone and the answer was, probably you guys deserve it but we are advised not to give it. I am speechless….the 10 dollar voucher won’t save our lives, but it is a sign of taking care for your customers, which obviously it is not Air Canada intention. Ridiculously they are saying is bad weather in Toronto, which seems not to be true too, Toronto has nice weather today, so Air Canada is shamelessly a liar too."
14,1.0,Why have a phone number for customer…,"Why have a phone number for customer service, when all you do is point back to the website? Why have a chat on the website, when all you get is a bot that points you to the website?  I need a human to resolve my issue, but it appears that none work in your customer service department."
15,1.0,Brutal Service,"Air Canada “customer service” agents are poorly trained to deal with customers, and clearly have zero patience. My bag has been missing for 4 days and all I’ve received is empty promises. It took all of 30 seconds before this agent I talked to rudely shoed me off the phone. Air Canada your service is useless and brutally frustrating to deal with, an experience I will not relive. Save me the generic apology response and use that time to go find my bag and actually resolve the issue."
16,1.0,Delay you by 3 hours with infrequent…,"Delay you by 3 hours with infrequent updates, and when they do they present it like good news- as if they haven’t just wasted hours of your life. Also make you watch heinous ads before they take off for whatever reason.Previous to this I had repeated mixed messages about whether to pick up and recheck my bag or not- so lost my booked lounge time to waiting to see if my bag turned up on the carousel or not. P.s. They obviously use the back of the carriage as a crèche, so avoid booking those seats if you’re sensitive to noise."
17,1.0,Better than the Rest,Sometimes mediocre is actually pretty good in this industry.  I fly for vacations several times per year.  Even though AC is often more expensive...I enjoy the experience of security knowing that my flight is going to take place.  There is slightly more leg room and slightly better service.  Way to go Air Canada...you may not be amazing but you are better than the rest.
19,1.0,Disgusted!,"Honestly, I was such a happy repeat customer till today. My bag has been delayed 4 days…finally got it back and majority of my things are missing. Carton of cigarettes, clothing very VERY sentimental expensive perfume!!I will never fly them again unless they reimburse me for all the damages and hassle I’ve gone thru!"
0,0.0,I would give no stars if I could,"I would give no stars if I could.  My itinerary was changed by Air Canada.  They sent me an email giving me the option to cancel, but, the link they tell you to use doesn't work in the UK, and the online 'chat' is useless. There is no easy way to get in touch with these people. I have tried social media, but no reply.  Non existent customer service!!"
1,1.0,Left my baby on plane with no food for 4 hours to then cancel flight…,"I left a very serious formal complaint regarding the lack of care my 2 year old baby was provided on board their flight.I sent This complaint via both their online form and email. I chased them a dozen times to respond and did not get a single response. There is absolutely zero complaint procedure with this airline, they simple file complaints in the bin…. Flight AC 945"
2,1.0,Freezing passengers in the dark are good passengers,"After our uncomfortable last Air Canada flight in March, this time I wanted to book another airline. I booked a Lufthansa flight via Opodo, just to find out after booking that both flights would be - again - Air Canada. The seats are way too narrow. Three grownup persons next to each other have their shoulders pressed against each other. This makes eating the bad tasting food filled with chemicals even more troublesome. Sitting next to the corridor, I got pressed against the corridor from the shoulder of my husband, and bumped into on the corridor by flight attendants or other passengers passing by. I constantly got pushed or bumped or stepped on my foot. Above me was a long line of ventilation slots. From there, icy cold air kept dropping down on me. I told a flight attendant that this was way too cold and she said they'd rather not have it too warm for the passengers. I pulled the blanket over my head and caught a cold anyway. After lunch all the shutters went down and the plane got dark. I asked last time why they did that, and was told that this keeps passengers more quiet. Finally all the flight attendants were the most unfriendly of any airline I ever flew with. Why two stars? The plane started from Frankfurt as scheduled and arrived in Toronto in time."
3,2.0,Jean Marc client rep at the Las Vegas…,"Jean Marc client rep at the Las Vegas airport went over and beyond to find 7 lights for myself and my friends return tickets to Vancouver Island after our original flights were cancelled last minute.  He was polite,  very apologetic.  If it wasn’t for his full support we would have had to find hotels and come. Ack a day late to our children.  Thank you Jean Marc for caring."
5,1.0,Beware…you don't get what you pay for!!!,"On a recent trip from ATL to Casablanca, via a plane change in Montreal, I had booked a full business class ticket ong with my two traveling companions. I was seated in economy to Montreal 🤬. One of my companions, a handicapped guy, was seated in economy all the way from Montreal to Casablanca when he had purchased and had a confirmed seat in Business!! Plus, his luggage didn't catch up to him til our final day 11 in Casablanca. The flight attendants were rather disengaged, some super aloof... This was the first and last time EVER on this very substandard airline."
6,1.0,"Waste of money, terrible service","We paid more to have extra leg room, but the end seat of the 3 in particular was so narrow it was incredibly uncomfortable for a 9hr flight. I’m not a big person at 13st, but was still touching both sides of the seat. Anyone 14st or above would have no chance!! Staff were not interested, and provided the worst in flight service I’ve experienced in my life, very rushed service for an hour or so, then they all disappear for 4 hrs or more. Then another rushed half hour and that’s your lot. Pretty dreadful in truth."
7,1.0,worst ever!,worst ever!I had issues with bagages delayed 18 days (received it 3 days before leaving my holidays.No one is truly helping you to get a refund for this.The website is a real nigthmare to use they always ask for an incident report number that they never gave to me.You arrive at your destination using united airlines (which is really bad too) so you can only complain to them.I'll never book a fligth with them again!
8,1.0,I've waited for 1 hour and I don't know…,"I've waited for 1 hour and I don't know why people work in customer service when they can't give customer service. Is started talking to this agent and she started yelling at me, she didn't even listen what I wanted to talk about. I have tried calling them again and again so that I can talk to at least one good agent who actually knows how to provide customer service. All these uneducated agents make you feel like a fool and then all you can do is cut the call. I hope AIR CANADA educate their employees before they put them behind the phones or whoever don't give a damn about customers and working drom homes."
9,1.0,Terrible service and arrogant staff The…,"Terrible service and arrogant staff The kind of bad service you have to look for a long time😡😡. On the way to the USA. Stopover in Brussels and onward transit in Montreal(AC833 at 10:00). At the gate, we and other passengers are asked to fill out a very long electronic visa application. No help to be had from the staff. We are not allowed to board until we receive a confirmation email. We get that, the plane is still at the gate, ""but unfortunately boarding has just finished"". So there we stand completely disillusioned, and the staff are totally indifferent😡. Have to go with unfinished business and lost tickets. Now had to buy new ones. Will never travel with AirCanada again 😡"
10,1.0,"Flights changed, connector flight now non existent","I booked flights with Air Canada directly after a previous negative experience using an online travel agency.The itinerary has since been changed and my connecting flight from Montreal to Vancouver has disappeared, leaving me with a 12 hr layover in Montreal and directions to ""change airports""... before my next flight from Vancouver. Absolutely disgraceful, and now no one at customer service is answering the phone."
11,1.0,"Absolute incompetent, appalling service.",Absolutely useless incompetents.  Changed my flight.  Won’t offer sensible options.  Trying to rebook a BA / air canada flight out of Manchester.  They are only offering me air canada only options.  They don’t fly out of Manchester.  So… impossible.  Utter useless
12,1.0,They canceled our flight 36 hours…,They canceled our flight 36 hours before takeoff. I was able to find an alternative BUT it will not let me edit anything and says I need to do  it with customer service. Been on hold now for 2 hours...All I want to do is confirm all is ok with the updated booking and confirm a few other things that I SHOULD be able to do online.....
13,1.0,Poor maintenance practices - safety issues,"Our flight from IAH to YYZ took off on time, but halfway through the flight, we turned back around because the deicing system was not working. We were made to wait in the hot plane without water on the Houston runway until we could deboard. I filed for compensation but was told since this was a ""safety issue"" instead of a routine maintenance issue, they would not compensate me. Seriously? It's not a surprise Canada is cold in the winter, they should have checked before takeoff there was malfunctioning deicing equipment. This practice of skirting compensation claims only incentivizes the company to skip out on routine maintenance, because if anything happens in the sky, they don't have to pay you! In my opinion, it's only a matter of time before one of their planes crashes due to poor maintenance practices and kills everyone."
14,1.0,Air Canada: A National Embarrassment,"Air Canada cancelled my flight and provided no alternative to get me to my destination.  Air Canada provided a number to call but did not answer when repeated calls were made but rather relied on an automated voice to gather information about me, my reason for calling, and my flight but not provide me information or options to get me to my destination or how Air Canada would compensate me for their breach of contract.  Neither Air Canada’s telephone service nor their webpage provided an adequate way to effectively submit a complaint."
15,1.0,AIR CANADA - ANY AIRLINE BUT !!,"When considering them as our NATIONAL carrier they are an absolute embarrassment !! from customer service, to quality of meals (or lack of), to their definition of 'premium economy' (compared to WESTJET),  to just how the heck do you miss putting FORTY pieces of luggage on to a plane ?? isn't that what the bar codes are for & why did it take 55 hours to fix sooooo IF you have any other choice - TAKE IT !!!"
16,1.0,Lost Baggage on flight Air Canada 854,Lost Baggage on flight Air Canada 854I report my bag was lost at the airport last week! 28 June 2023Flew into Heathrow airport on the 28 June and it is the 4 July 2022 and I still haven’t got my bag and it is impossible to speak to a Human being to get soE idea of where my bag is!Disgusting communication.
17,1.0,Don’t bother flying Air Canada until mask mandate is rescinded,"Flew Air Canada from London to Montreal and back. The thing that kills me is that they still have a mask mandate on the way back despite no restrictions in the uk. Whilst I appreciate that this may be a sick Federal mandate, I will no longer fly this airline whilst the crazy mask mandate is in place. The uk has dispensed with any kind of mandate since last February without any ill effects. To force people to wear a useless face covering is insulting and uncomfortable. However the staff was lovely both on the way there and back."
18,2.0,I would rate a zero if possible,"I would rate a zero if possible. Constant delays with 15 to 30 mins intervals on the first day 4 different times. They board the flight only to later tell everyone they are no travelling because the pilot has already flown twice and cannot fly again. Meanwhile automated messages about delays lie and blame it on the weather. Automated rebooking for 2 days later with stops. A non-stop flight had been purchased so we didn't accept. Managed to get a flight the following day at the same time and they have already delayed it 3 times, 2 days in a row of this nonsense! What an embarrassment of an airline. They mess up and you have to jump through hoops to figure out a solution and then demand compensation. They should really be ashamed to be in business with this level of service.I dare any other industry to operate the way airlines do and survive. They have to be held accountable and be made to pay for the terrible service they provide. They constantly prove they do not care about people or providing a good service."
19,1.0,Horrible customer service!!!,Horrible customer service!!!They doesn't care for kids or baby.And policy is every time difference.Up to their employees. Very unprofessional!!!I never never gonna use air canada ever!!!
0,0.0,First experience of International Flying on 9 and 21 May 2023,"I flew with Air Canada recently to Calgary from LHR and returned. On both flights the crew were amazing, kind,helpful and very efficient.  The Maple Leaf Lounge at LHR was disappointing, seats were all scruffy and worn at the edges, everything was dusty. The food did not look appetising so I opted for a sandwich, the staff were good.  The ladies toilet was very clean. The Maple Leaf Lounge at Calgary was super clean, really good selection of food and on site chef preparing fresh. 5 star!  The ladies toilet was dirty and not been cleaned for sometime. Thankyou to the crew of Air Canada I had really great flight experiences. Also the Checking In Staff at Calgary went above and beyond to be helpful and make sure our experience with Air Canada was good.  They deserve a real good reward for total dedication to their job."
2,1.0,London to Mumbai: unfriendly and disrepair.,"Flew them from London to Mumbai and back, Economy on the way out and Premium Economy on the way back. Normally Canadians have a reputation for being friendly - yet somehow Air Canada seems to have found the exceptions and made them crew. The entire flight there was very little politeness or friendliness. Premium Economy was a real let down - and is not worth the money. All you get is a slightly nicer seat - but there is no better service, nor food.Finally the toilet seat in economy had a crack in it; they had used tape to cover it. Which is fine if it had ""just happened"" but it really looks like it had been in that kind of disrepair for a while."
3,1.0,Air Canada = SABENA (Such A Bad…,"Air Canada = SABENA (Such A Bad Experience Never Again). Always delays, no help. Choose another airline!"
4,1.0,"Good flights, just a long waiting","I had a good experience with Air Canada. The staff was friendly, the flight confortable, the food good. The plane has a wide range of free entertainment, it made those hours pass quickly. I appreciate that they ask the passengers to keep their mask on during the whole flight. We just had to wait for about three hours when they changed the plane for an ""unforeseen maintenance issue"". Personally, I'm glad they changed the plane if there was an issue, I only expected they offer us at least something to drink or eat in the meantime. Anyway I will chose them again on my next flight."
6,1.0,Appalling,"I travelled with Air Canada on the 27th/28th June. The flights were delayed and the entertainment system did not work on either flight. I arrived in the UK without my suitcases. One was delivered five days later, the other TEN weeks later with no apology. I have still not received the repayment of the baggage fee paid (which they commit to for delayed bags). Their Indian call centre only read from a script and cannot give any information despite many calls and it is impossible to get in contact with anyone else. Appalling customer service."
7,1.0,March 18  Part 1,"March 18, Nanaimo to Montreal. Missed connection in Vancouver due to fact, as an invalid, I needed assistance going one plane to the next. No through flights to Montreal, only Toronto- Montreal. Arri Bags lost on this tripving in Toronto, same problem with connecting flight. No one to push the wheelchair in reasonable time. Bags were lost on the way out but found in one day. Lost on return trip. Damaged."
8,2.0,Flight got canceled and good luck…,"Flight got canceled and good luck getting ahold of a customer service. Wait time is fustrating What a funny company, skip!It's people right ✅️ to get compensated"
9,1.0,Avoid. Poor quality. Delayed. Poor after flight customer care,Flew To Calgary in the summer.  Very badly delayed.  They told us it was due to safety issues and offered a voucher as goodwill. We questioned the safety issues and asked for evidence since then TOTAL RADIO SILENCE and all communication ignored.  The after flight service is appalling
10,1.0,Team Jenny + Jane Save Our New Years Plans!,"We had some confusion with tickets that were booked with Aeroplan Points. Tickets were not issued, and I failed to notice until less than 24 hours before the flight.  This also happened to be Dec 29th for a Dec 30th Flight. Needless to say we were very Panicked and we were supported by a Jane T @ Aircanada Toronto, and a Jenny From Aeroplan who was in Vancouver. Both Ladies went above and beyond to resolve our issue, and even though it was partly my mistake for not double-checking the app until the day before they graciously took over an hour to make it right and get us on our original flights. Nice work, Aeroplan + AirCanada! Go Team Jenny+Jane!"
12,1.0,They changed seat number on me,Paid for preferred seat for more room for bad leg but ended up in standard seat with much less space.  Not looking forward to fight to get money difference back.
13,1.0,I have been on hold for an hour for…,"I have been on hold for an hour for something I should have been able to do on the website. However, because the website doesn't seem to be functional, calling is the only option I have."
14,1.0,This review is for AC's customer…,"This review is for AC's customer service (once you get through to someone: Dipal Parmar (F).  She was a great help, patience, fast and very apologetic.  My flight got cancelled 10 hours before the time and AC changed my itinerary w/o my approval of acceptance. I called in and spoke to Dipal Parmar and she was able to fix the new itinerary to my specifications."
16,1.0,"as an airline its ok, the rest is garbage","as an airline its ok. they have planes. you buy seats.as a customer service experience this unadulterated piece of excretoir is laughable. even with aeroplan and all the fancy shmancy reward programs they just dont take your call lol. You cant cancel some bookings online they tell you to call, you call they tell you to go hyuck yourself.Biggest joke is "" wait time is longer than usual"" No its not, your usual wait time is ALWAYS 1-2 hours lol. its not longer than usual. it is the the usual. just hire more ppl for hyuuck sakes"
17,1.0,Tried booking online for an hour,"Tried booking online for an hour. Kept getting error messages. I ring up and funny old thing the flight is suddenly £100 more! SORT YOUR WEBSITE OUT! If your website is not working – match the price on the phone. What a wasted evening... Thanks AirCanadaEDIT: tried again the next day, even after the AirCanada Customer service said it was now more expensive, went through at the better rate next day.EDIT II: Had a great couple of flights with AirCanada and loved their statement on the unscientific restrictions AirCanada and their customers had to endure."
19,1.0,This company speculate in making money…,"This company speculate in making money on its “mistakes”. It lures you in  under your assumption that it is a serious company. But at the end it’ll cost you.I bought a ticket where the app changed my booking with a month. I didn’t notice until I had payed. I immediately tried to rebook. Didn’t work unless I bought a more expensive ticket ;) service center - couldn’t get through. It dropped my call as there were more than 2 hours lineup.Ended up costing me the double. So I’ll go to the competition from now on. Airlines think they’re immune, because of our lack of loyalty to anything but low prices. Be careful with Air Canada.It cannot be a coincidence that they year after year have so many mistakes."
0,0.0,AIR Canada cancelled my flight from…,"AIR Canada cancelled my flight from London to Canada up to 5 times until it was no longer possible for me to fly again. Now they have refused to refund my flight ticket. The worst part is they stopped replying my messages. Sometimes I even wonder if I have been scammed by scammers who stop replying after a while, but no, this is AIR Canada. I was supposed to be the best man at my best friends wedding on a weekend in September 2022. Because I work Monday to Friday, I booked my flight for Friday evening so that I can arrived in time on Saturday to attend the wedding. I was about boarding the plane on Friday night when they first cancelled the flight and took us to a hotel for another flight the following morning. The morning flight was cancelled twice and was further cancelled 3 times during the day, making it impossible for me to attend the wedding as there was no way i would have arrived on time. So I had to cancel my ticket and returned home. Since October last year I have been asking for a refund which they said is being processed. Up till today, I haven’t received my refund and they have stopped responding to me. I have sent several emails with no response. Please I need help from anyone who can help."
1,1.0,Lost luggage/Delayed,Lost luggageWe travelled on 12th june from Seattle to Canada. AND it is almost 21 days they couldn not  trace our baggage and not even update us with the last scanning place of tag number. The only option is to mail them and we will not get any response from them too.
2,1.0,Terrible Airline,"Terrible. Flight was changed by 1.25 hours meaning we'll miss our connecting flight. Email said we can request a refund by calling. Called the help center and they were rude and said there was nothing they could do as it was less than 3h change. Was a frequent flyer, will never be flying air canada again"
3,1.0,Air Canada Christmas disaster,"What went wrong this time? Everything. Started off with a 4 hour delay, missed our connecting flight which led to two other connecting flights the day after. Lost a suitcase (4’th day of the vacation and it’s still lost) and a day of the vacation. Tried calling the airline with no answer. Still missing my suitcase!"
4,1.0,Excellent Business Class experience,Flew from Heathrow to Calgary and back from Vancouver Sept/October this year. Business class was excellent in all respects - attentive and friendly cabin crew. My wife is a Coeliac and her dietary requirements were met perfectly.
7,1.0,An airline from a 3rd world country can…,"An airline carrier from a 3rd world country can do better!I can't believe the type of service that I got in Air Canada Rouge. The aircraft is dated where I can't change my phone with an HDMI plug. I upgraded my economy class seat and was promised more space. On top of that, they lost my luggage!!! I asked the boarding desk staff to ensure my luggage is in the plane that I was flying with before my flight. This moron told me not to worry and it's in the plane. With that being said, I will no longer fly with F#%^ING Air Canada again and would rather opt for an airline carrier from a 3rd world country! What a nightmare of a vacation that I just had! 🤬"
8,1.0,I couldn't recommend this airline.,"After cancelling my flight from Seattle to Vancouver, it threw out all my other flights to Australia. I waited 8 hours in Vancouver airport for an Air Canada flight which was not my original airline. It was a full flight and my aisle seat had a pull up entertainment screen which got knocked down to the ground at least 30 times during the flight. Half those times it was the staff that knocked it down with there bodies walking past. One lady knocked it down 6 times and looked back at me and never a word of apology.Then arriving in Sydney my backpack was all torn and a strap completely broke and some spices and items removed from the top of my bag. Really poor effort Air Canada. Really disappointing as I like your country very much, but a really bad airline."
9,1.0,Air Canada cancelled flights without…,Air Canada cancelled flights without informing me. Then they refused to give me a refund. Twelve hours before departure they allowed my fired agent to cancel my flight.
10,1.0,"Worst Airline
Delayed Baggage","Arrived in Edmonton for the first time , then being handed a card to file missing luggage form with the agent very un apologetic trying to justify and normalise this unacceptable practice of the airline. I was furious with no help offered being even told by the staff “ we are all tired and being answered back with my queries with”what do you mean?” With sarcasm . Also, my customer service experience reporting this to people whom I need to spell everything that I say with no active listening apologising unemphatically like reading it from a script.Definitely my last with this airline ,and surely will tell everyone on how the situation was mishandled . I’m still waiting for my baggage until now and I’m only here in canada for 9 days. What a horrible experience. I am very regretful to have booked this flight. From messy, dirty international airplane with its rude flight attendants until arrival. Nothing good happened."
11,1.0,Arrived in Edmonton for the first time…,"Arrived in Edmonton for the first time , then being handed a card to file missing luggage form with the agent very un apologetic trying to justify and normalise this unacceptable practice of the airline. I was furious with no help offered being even told by the staff “ we are all tired and being answered back with my queries with”what do you mean?” With sarcasm . Also, my customer service experience reporting this to people whom I need to spell everything that I say with no active listening apologising unemphatically like reading it from a script.Definitely my last with this airline ,and surely will tell everyone on how the situation was mishandled . I’m still waiting for my baggage until now and I’m only here in canada for 9 days. What a horrible experience. I am very regretful to have booked this flight. From messy, dirty international airplane with its rude flight attendants until arrival. Nothing good happened."
12,1.0,Air Incompetence,"In July I had the misfortune that I used Air Canada to enter and leave Quebec. On leaving our flight from Quebec to Toronto was delayed and as a result we missed our next flight. We waited over 12 hours in Toronto for our flight AC8749 to leave. Our gate changed 5 times. Our flight AC8749 did not arrive into Charlotte (NOT DULLES IAD which it was originally scheduled) until just after 12 midnight on 7/18 and therefore missed our flight to Charleston SC. Additionally in Toronto I was told there would be someone from Air Canada to help us with a room for the night because we knew we going to miss our next flight.  There was nobody from Air Canada there to meet us. We were supposed to fly out on an American Airlines plane to Charleston but it was gone. The person closing the door was a tarmac person and had no idea or even the phone number for customer service. Given it was already about 12:30am we decided we had to sleep on the chairs until the morning. We got another flight on American Airlines AA1657 in the morning OF 7/18 to Charleston (CHS). Canada has a system if you complain to the airline you should get a response. I did file a complaint with Air Canada and this is the response I go.""We reviewed your case for flight AC8445 YVR - YXT, on 2023/07/17, and found that the length of delay was under 3 hours. Unfortunately, this means you are not eligible for compensation."" Are you kidding me? I immediately responded to this misaccuracy and received no response. So I'm getting my ounce of revenge because I will absolutely NEVER use Air Canada again."
13,1.0,I have 2 vouchers that I try to redeem…,"I have 2 vouchers that I try to redeem for my upcoming trip. There is no link to redeem the vouchers on their website, they do not answer my phone calls, and I quit waiting after 32 minutes. It is one of the worse service in the industry. I will not fly with them in the future."
14,1.0,My family booking in premium economy…,"My family booking in premium economy was assigned the middle seat each person in different rows, months in advance. When contacted the staff couldn’t move anyone around as apparently they don’t have the details to look at what other people address travelling solo, or as a group etc to best look after everyone. They suggested I ask the person next to me on the plane to swap so I could sit with my kid. They got upset and disconnected the call when I said that was unacceptable and please escalate the request to a manager because that information whilst not available to me is absolutely available to air Canada staff somewhere."
15,1.0,we travelled on air Canada rouge I am…,"we travelled on air Canada rouge I am 6' 3"" if the seats were any closer I would have to stand no respect for their customers only care about profits"
16,1.0,"flight cancellations, lost bagagge, no communication","I was scheduled to fly to Copenhagen at 4:30pm and told to go to airport 3 hours early. I arrived and advised on the board my flight had been cancelled with no notification. My flight was rescheduled 8 hours later to Frankfurt with no connection to my final destination. And no flights to Copenhagen for over 24 hours. I was advised to use an “air Canada reservation phone” which I waited for 2 hours to get ahold of an attendent.I was rerouted on a flight to Mumbai with a layover on Heathrow. This flight was delayed 2 hours and I missed my connection and had to wait an additional 8 hours in the airport, which I was generously given a 10 pound voucher. I verified with staff on 3 separate occasions that my bags were on the next flight due to all this chaotic rerouting. I was assured they were there.I arrived in Copenhagen 28 hours after I departed and lo and behold my bags are now missing. 2 cancellations. 1 missed connection. Bags lost"
17,1.0,SERIOUSLY-AIR CANADA -NEVER AGAIN,"SERIOUSLY! THEY ARE SIMPLY THIEF !!!I bought a round trip because it was cheaper, if I don't show up on the outward journey, I lose my return. So I buy a product and I don't have the possibility of using it, moreover they obviously refuse to reimburse me. It's just theft"
